day,venue,race,name,pop,chaku,reason
2026-08-08,新潟,10,クリールスル,5,13,W0に追切なし
2026-08-08,新潟,11,ブラヴィーノ,18,14,W0に追切なし
2026-08-08,新潟,11,カイショー,3,15,W0に追切なし
2026-08-08,新潟,11,ミルトメロディー,11,10,W0に追切なし
2026-08-08,新潟,11,レモンバーム,8,11,W0に追切なし
2026-08-08,新潟,11,パーティーガール,12,6,W0に追切なし
2026-08-08,新潟,11,ジュエルドレーサー,14,4,W0に追切なし
2026-08-08,新潟,11,ブライティアブーケ,6,3,W0に追切なし
2026-08-08,新潟,11,セイラダンサー,13,13,W0に追切なし
2026-08-08,新潟,11,メテオロイド,7,1,W0に追切なし
2026-08-08,新潟,12,エーデルクラフト,12,9,W0に追切なし
2026-08-08,新潟,12,マイネルリーヒム,2,1,W0に追切なし
2026-08-08,新潟,12,リベルタアーラ,15,12,W0に追切なし
2026-08-08,新潟,12,ローレルエース,11,11,W0に追切なし
2026-08-08,新潟,12,フォーエバーラブ,8,8,W0に追切なし
2026-08-08,新潟,12,スカーレットジーン,10,13,W0に追切なし
2026-08-08,新潟,12,ヤマニンリンキング,7,4,W0に追切なし
2026-08-08,新潟,12,ディエスルージュ,14,3,W0に追切なし
2026-08-08,新潟,12,オーブレーヌ,5,7,W0に追切なし
2026-08-08,新潟,12,ジェイエルグリーン,6,14,W0に追切なし
2026-08-08,新潟,12,ポポラヴィスタ,3,6,W0に追切なし
2026-08-08,札幌,1,ルージュエピック,7,7,W0に追切なし
2026-08-08,札幌,1,セラサイト,6,5,W0に追切なし
2026-08-08,札幌,1,ジェイストリーク,4,3,W0に追切なし
2026-08-08,札幌,1,アルデバローズ,13,13,W0に追切なし
2026-08-08,札幌,1,サマースプラッシュ,12,8,W0に追切なし
2026-08-08,札幌,1,ルージュボニート,1,1,W0に追切なし
2026-08-08,札幌,1,ハスカップジャム,14,11,W0に追切なし
2026-08-08,札幌,1,サンエンジェルス,8,6,W0に追切なし
2026-08-08,札幌,1,フィーユレアル,9,9,W0に追切なし
2026-08-08,札幌,1,マーゴットクリュグ,5,2,W0に追切なし
2026-08-08,札幌,1,ルパピヨンブラン,10,10,W0に追切なし
2026-08-08,札幌,1,ワイルドカグラ,11,14,W0に追切なし
2026-08-08,札幌,1,シャドウルーラー,3,12,W0に追切なし
2026-08-08,札幌,1,ジーティービキニ,2,4,W0に追切なし
2026-08-08,札幌,2,ランダムナンバー,7,5,W0に追切なし
2026-08-08,札幌,2,ショパンコンクール,4,11,W0に追切なし
2026-08-08,札幌,2,アルデシンザン,2,4,W0に追切なし
2026-08-08,札幌,2,リアルジャパン,6,10,W0に追切なし
2026-08-08,札幌,2,トルネードサンダー,5,7,W0に追切なし
2026-08-08,札幌,2,アズライトティアラ,10,13,W0に追切なし
2026-08-08,札幌,2,チカバリエンテ,1,1,W0に追切なし
2026-08-08,札幌,2,サンシルヴァリー,11,8,W0に追切なし
2026-08-08,札幌,2,ライフイズアート,3,9,W0に追切なし
2026-08-08,札幌,2,ジャストワナフライ,9,2,W0に追切なし
2026-08-08,札幌,2,ルギッドドランジュ,8,3,W0に追切なし
2026-08-08,札幌,2,ゴートゥービッツン,12,12,W0に追切なし
2026-08-08,札幌,2,リラカリス,13,6,W0に追切なし
2026-08-08,札幌,3,ホウオウチャールズ,11,12,W0に追切なし
2026-08-08,札幌,3,ジングアップ,9,9,W0に追切なし
2026-08-08,札幌,3,ロスニーニョス,13,10,W0に追切なし
2026-08-08,札幌,3,シンエンドーツダ,1,5,W0に追切なし
2026-08-08,札幌,3,フロムザムーン,10,6,W0に追切なし
2026-08-08,札幌,3,ニシノモリミチ,5,13,W0に追切なし
2026-08-08,札幌,3,ダディーズソード,12,14,W0に追切なし
2026-08-08,札幌,3,デルマバンダイサン,7,7,W0に追切なし
2026-08-08,札幌,3,ヘリオポリス,14,8,W0に追切なし
2026-08-08,札幌,3,リン,4,2,W0に追切なし
2026-08-08,札幌,3,ビレッジルイーザ,6,3,W0に追切なし
2026-08-08,札幌,3,マルシュボヌール,8,11,W0に追切なし
2026-08-08,札幌,3,イトシサ,2,4,W0に追切なし
2026-08-08,札幌,3,インタノン,3,1,W0に追切なし
2026-08-08,札幌,4,サンウリエル,9,7,W0に追切なし
2026-08-08,札幌,4,アセンブリールーム,5,3,W0に追切なし
2026-08-08,札幌,4,アッシュバーグ,12,10,W0に追切なし
2026-08-08,札幌,4,ダノンフィオーレ,4,1,W0に追切なし
2026-08-08,札幌,4,コスモレッド,11,13,W0に追切なし
2026-08-08,札幌,4,ネッタイヤライ,7,4,W0に追切なし
2026-08-08,札幌,4,ルーチェフィオーレ,8,14,W0に追切なし
