日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,10,サトノパトリオット,69.3,65,56.11,2,,,,5.3,4,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,11,リンフレスカンテ,49,57.3,45.4,0,,,,33.9,10,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,12,クリニクラウン,50,59,49.97,0,,,,33.8,9,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,1,ボーンディスウェイ,47,65,45.1,0,,,,32,11,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,2,サヴォーナ,47,64,51.15,2,,,,15.7,8,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,3,ロデオドライブ,70.3,70,53.88,0,,,,3.9,2,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,4,ドゥレッツァ,46.1,63.6,51.02,3,,,,8.8,4,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,5,ゾロアストロ,58.4,63.9,49.04,0,,,,5,3,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,6,チェルヴィニア,45.1,63.3,48.67,0,,,,14.6,7,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,7,ジュンブロッサム,41,61,41.41,0,,,,26.9,10,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,8,ダノンシーマ,62.7,72.2,58.25,0,,,,2.8,1,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
