日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,コンピ順位,コンピ指数,コンピ元表示,source_url,source_status
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,5,ファイツオン,7,54,"5
54",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,6,エリカカリーナ,4,59,"6
59",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,7,リュウノタブーク,15,43,"7
43",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,8,ハニーローリエ,1,81,"8
81",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,9,バンディート,14,44,"9
44",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,10,キントラダンサー,17,41,"10
41",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,11,ビップムーラン,3,61,"11
61",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,12,レジーナローズ,8,53,"12
53",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,13,ビーアイフォルテ,13,46,"13
46",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,14,ケンキョ,16,42,"14
42",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,15,ミスエル,10,51,"15
51",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,16,スペルキャスター,6,55,"16
55",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,17,ラトルシェ,11,48,"17
48",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,18,ヴェントゥーラ,5,58,"18
58",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,1,カーボフリオ,4,58,"1
58",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,2,ソナタムーンライト,12,43,"2
43",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,3,アーティキュレート,7,53,"3
53",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,4,パワポケウォーズ,9,51,"4
51",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,5,クライングナウ,2,68,"5
68",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,6,ロジキセキ,3,65,"6
65",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,7,カノープス,13,42,"7
42",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,8,ザンテソーロ,8,52,"8
52",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,9,ウモラダエピカ,5,55,"9
55",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,10,サングラント,1,81,"10
81",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,10,202604030410,04263410,17:00,10R ダ1800 ３歳未勝利 17:00,11,ヴァルク,14,41,"11
41",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
