日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,8,ダノンシーマ,2.8,1.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,9,アーバンシック,13.1,2.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,10,バレエマスター,24.4,4.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,11,ステレンボッシュ,9.2,2.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,1,カレンデュラ,4.3,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,2,サトノアルペジオ,57.7,10.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,3,ゼンダンタカ,32.5,6.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,4,フレッシュラン,108,19.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,5,ファイツオン,17.3,3.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,6,エリカカリーナ,16.5,3.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,7,リュウノタブーク,65.3,12,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,8,ハニーローリエ,2.8,1.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
