日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,14,ジンガー,8,--,牡4,58,柴田大知,58,50,未,未,58,53,50,135.7,15,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,15,サトノラポール,8,--,セ4,58,津村明秀,61,61*,61,61,73,88,61,18.9,7,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,1,ハギノコラソン,1,--,牝4,53,小崎綾也,-,-,未,未,85,73,71,37.9,11,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,2,ボウウィンドウ,1,--,牝4,55,Ｃ．ルメール,107,102,107,80,102,104,97,2.3,1,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,3,バンフィエルド,2,--,牡7,53,柴田大知,99,76,99,79,87,69,76,767.6,17,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,4,ツルマウカタチ,2,--,牡5,55,嶋田純次,99,90,85,93,76,93,87,34.1,10,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,5,ロールザダイス,3,--,セ4,55,Ｍ．ミシェル,97,81,80,未,72,82,86,31.4,9,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,6,オリバナム,3,--,牝4,54,戸崎圭太,99,91,71,未,99,93,89,9.4,3,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,7,ジャンビ,4,--,牝5,52,木幡育也,99,84,99,99,93,74,83,86.9,15,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,8,ホウオウタイタン,4,--,牝4,55,丸山元気,102,89,102,未,86,102,84,5.6,2,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,9,バガン,5,--,牡8,55,岩田康誠,103,87,93,91,78,86,89,60.1,14,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,10,ペッレグリーニ,5,--,セ5,55,内田博幸,99,90*,99,86,92,72,82,38.2,12,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,11,ティムール,6,--,牡6,55,原優介,101,87,92,未,72,99,91,45.4,13,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,12,マイネルアズーロ,6,--,牡4,55,津村明秀,102,91,90,86,95,90,86,12.8,6,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,13,エリーナストーム,7,--,牝4,53,三浦皇成,100,94*,100,76,100,95,74,12.1,4,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,14,カフェアローロ,7,--,牝5,52,石神深道,91,85*,91,80,70,90,80,114.1,16,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,15,スピンザブラッド,8,--,牡5,55,松山弘平,97,83,85,86,74,69,86,21.4,8,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,16,ピエナフェーヴル,8,--,牡4,56,田辺裕信,91,91*,81,未,36,46,91,14,7,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,7,202604030307,04263307,15:10,7R 芝2000 赤倉特別 2勝クラス WIN5 15:10,17,マイネルアレス,8,--,牡4,56,菊沢一樹,98,85,98,88,75,80,96,12.2,5,https://race.netkeiba.com/race/speed.html?race_id=202604030307,PASS
2026-08-29,新潟,8,202604030308,04263308,15:45,8R ダ1800 ＢＳＮ賞 WIN5 15:45,1,ピカピカサンダー,1,--,牡4,57,三浦皇成,102,89,99,99,81,102,90,7.6,4,https://race.netkeiba.com/race/speed.html?race_id=202604030308,PASS
